site,bag_id,artifact,layer,locus,square,raw_material,support,preservation,length,width,thickness,weight,usewear_macro,usewear_location,usewear_type,active_areas,residues_macro,typology,photo_file,observations
Nesher Ramla,7689,7689-1,5,54,,Limestone,Pebble,complete,83.99,71.09,66.14,530,yes,tip,pecking,1,no,Hammerstone,,
Nesher Ramla,8361,8361-1,5,45,,Limestone,block,broken,0,0,0,0,no,,,,no,Natural,,
Nesher Ramla,8361,8361,5,45,,Limestone,Pebble,complete,76.72,64.9,43.73,287,yes,tip,pecking,1,no,Hammerstone,,
Nesher Ramla,8252,8252,5,,,Limestone,block,broken,65.6,24.36,20.07,59,no,,,,no,Natural,,
Nesher Ramla,4152,4152,5,,,Limestone,block,broken,113.39,76.87,48.04,564,no,,,,,Natural,,
Nesher Ramla,8647,8647,5,45A,,Limestone,Pebble,broken,71.87,48.73,35.84,162,yes,tip,pecking,1,no,Undefined,,
Nesher Ramla,5520,5520-1,5,45,,Limestone,Pebble,complete,79.82,68.54,40.89,326,no,,,,no,Manuport,,
Nesher Ramla,5520,5520,5,45,,Limestone,Pebble,broken,0,0,0,0,yes,tip,pecking,1,no,Chopper,,bifacial edge
Nesher Ramla,8210,8210,5,,,Limestone,Pebble,complete,55.56,38.38,28.44,77,yes,central,striations,1,no,Undefined,,
Nesher Ramla,1822,1822,5,37,,Limestone,Pebble,complete,69.59,67.73,46.01,0,yes,tip,pecking,1,no,Hammerstone,,
Nesher Ramla,935,935,5,37,,Limestone,block,broken,71.64,64.39,35.92,245,no,,,,no,Natural,,
Nesher Ramla,,,5,37,,Limestone,Pebble,broken,0,0,0,0,no,,,,no,Hammerstone,,
Nesher Ramla,8267,8267,5,37,,Limestone,Pebble,complete,61.84,53.91,48.68,217,yes,tip,pecking,1,no,Hammerstone,,
Nesher Ramla,8133,8133,5,45,,Limestone,Pebble,small_breakage,64.1,57.41,29.28,133,no,,,,no,Undefined,,
Nesher Ramla,5722,5722,5,49,,Limestone,Pebble,broken,77.12,44.37,50.02,275,yes,tip,pecking,1,no,Hammerstone,,
Nesher Ramla,7689,7689-2,5,54,,Limestone,block,broken,0,0,0,0,no,,,,no,Natural,,
